Age,Gender,Country,State,Back-End,Front-End,Designer,Dev-Ops,Dev_Evang,Executive,HR,One-Person,Supervisor,Self_Employed,Remote,1_to_5,6_to_25,26_to_100,101_to_500,500_to_1000,Thousand+,Tech,Health_Care_Options,Do you know the options for mental health care available under your employer-provided coverage?,Boss_Mental_Health_Awareness,Resources,Anonymity ?,Leaving_Ease ,Supervisor_Negative_Consequence,Supervisor_Physical_Health_Negative,Co-Workers_Discussion,Supervisor_Mental_Health,Employer_Mental_Equal_Physical_Health,Negative_Co-Worker_Mental_Health ,Previous_Employer,Previous_Health_Benefits,Health_Care_Awareness ,Prev_Employers_Talk_Mental_Health ,Previous_Resources ,Previous_Anonymity ,Previous_Mental_Health_Discuss_Neg_Consequences ,Previous_Employer_Discuss_Physical_Health_Neg_Conseq,Mental_Health_Co-Workers ,Mental_Health_Supervisor ,Previous_Employer_Mental_Physical_Equal , Previous_Co-Worker_Mental_Health_Neg_Consequences ,Interview_Physical_Health_Awareness ,Interview_Mental_Health_AwarenessWould you bring up a mental health issue with a potential employer in an interview?,Mental_Health_Hurt_Career ,Co-Worker_Aware_Mental_Health_Issues ,Willing_Family_Mental_Health_Awareness ,Previous_Workplace_Poor-Response-Mental ,Family_History,Past_Mental_Health_Issue,Current_Mental_Health_Issue ,Addictive,Anxiety,ADHD,Autism,Burnout,Physical_Mental,Mood,Eating,Personality,PTSD,OCD,Substance,Have you ever sought treatment for a mental health issue from a mental health professional?,Treated_Interference_Mental_Health,No_Treatment_Interference_Mental_Health 
39,Male,United Kingdom,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,5,0,0,1,2,1,0,1,0,0,1,0,1,2,0,1,2,1,0,1,1,1,0,3,0,0,2,0,,,,,,,,,,,,,0,1,1
29,Male,United States of America,Illinois,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,2,4,0,0,1,2,2,0,1,3,2,0,1,3,0,0,0,2,2,0,1,0,0,0,3,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
38,Male,United Kingdom,,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,2,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,3,1,0,1,0,,,,,,,,,,,,,1,1,1
43,Male,United Kingdom,,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,1,2,1,1,2,1,1,2,1,2,1,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3
43,Female,United States of America,Illinois,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,3,3,0,0,0,2,2,1,1,0,0,0,1,1,0,2,0,1,2,1,0,2,2,1,1,0,2,1,3,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3
42,Male,United Kingdom,,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,0,2,2,4,2,2,1,2,0,1,1,0,3,0,0,1,3,1,0,0,0,1,2,1,2,1,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4
30,Male,United States of America,Tennessee,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,4,0,0,1,2,2,0,1,2,2,0,1,1,0,0,1,3,2,0,2,2,2,0,-1,0,0,0,0,,,,,,,,,,,,,0,1,1
37,Female,United States of America,Virginia,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,3,3,0,2,2,5,0,0,1,2,1,0,1,2,2,2,1,2,2,1,1,2,2,1,0,0,1,1,3,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
44,Female,United States of America,California,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,2,2,2,1,0,0,1,1,0,2,0,1,3,2,0,0,0,0,1,1,1,2,3,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4
30,Male,United States of America,Kentucky,1,1,0,0,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,1,2,2,0,0,1,2,1,1,2,1,0,2,1,1,0,4,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4
28,Male,United States of America,Oregon,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,2,2,2,5,0,0,1,2,2,0,1,0,0,0,0,0,2,1,0,2,0,1,2,2,0,1,4,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4
34,Male,United States of America,Pennsylvania,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,3,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,2,2,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
