Age,Gender,Country,state,self_employed,family_history,work_interfere,<5,5_to_25,26-100,100-500,500-1000,1000+,remote_work,tech_company,benefits,care_options,leave,obs_consequence,seek_help,treatment,coworkers,supervisor,,
31,Male,United States,NC,1,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,1,1,,
46,Male,United States,MA,0,0,3,0,0,1,0,0,0,1,1,2,2,1,0,0,1,1,2,,
35,Female,United States,CA,0,1,1,0,1,0,0,0,0,1,1,2,2,1,0,1,1,2,2,,
37,Male,United Kingdom,NA,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,,
32,Male,United Kingdom,NA,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,,
40,Female,United States,WI,0,0,2,1,0,0,0,0,0,0,1,2,2,1,0,0,1,1,0,,
27,Male,United States,NY,0,0,1,0,1,0,0,0,0,0,1,0,2,5,0,0,1,2,2,,
35,Male,United States,TX,0,0,1,0,0,0,0,0,1,1,1,2,2,5,0,2,1,2,2,,
30,Male,United States,IN,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,,
22,Male,United States,TX,0,1,3,0,1,0,0,0,0,0,1,0,2,2,0,0,1,0,0,,
33,Male,Canada,NA,0,1,3,0,1,0,0,0,0,1,1,1,0,3,0,0,1,0,0,,
44,Male,United States,IA,0,1,2,0,0,0,0,0,1,0,0,2,0,1,1,1,1,1,0,,
27,Male,United Kingdom,NA,0,0,0,0,0,0,1,0,0,0,1,2,1,4,0,2,0,2,2,,
35,Male,Canada,NA,0,0,2,0,1,0,0,0,0,0,1,1,0,4,0,0,0,1,2,,
23,Female,Australia,NA,0,1,3,1,0,0,0,0,0,1,1,0,1,5,0,0,1,1,2,,
33,Male,United States,CA,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,,
31,Male,United States,WA,1,1,2,1,0,0,0,0,0,1,1,0,0,3,0,0,0,2,2,,
38,Male,United States,NY,0,1,2,0,0,0,1,0,0,1,1,2,2,1,0,2,0,2,1,,
23,Male,United Kingdom,NA,0,0,0,0,0,1,0,0,0,0,1,2,1,5,0,1,0,1,2,,
33,Male,United States,CA,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,
39,Male,United Kingdom,NA,1,0,3,0,1,0,0,0,0,0,1,0,0,2,1,0,1,1,0,,
29,Female,United States,FL,0,0,2,0,0,1,0,0,0,0,1,2,2,1,1,0,1,1,1,,
25,Female,Canada,NA,0,0,2,0,0,1,0,0,0,0,1,2,2,1,0,1,1,1,2,,
29,Male,United States,MN,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,2,,
24,Male,United States,MO,0,1,1,0,0,1,0,0,0,0,1,1,1,4,0,1,0,1,0,,
30,Male,United States,IN,0,0,3,1,0,0,0,0,0,0,1,0,2,4,0,0,1,2,2,,
26,Female,Canada,NA,0,1,2,0,0,1,0,0,0,0,0,0,2,2,1,0,1,0,0,,
33,Male,United States,WI,0,1,2,0,0,1,0,0,0,1,1,2,2,4,0,2,1,1,2,,
35,Male,United States,OR,0,1,2,0,0,1,0,0,0,1,1,1,1,4,0,0,1,1,2,,
32,Male,United States,WA,0,0,2,0,0,1,0,0,0,0,1,2,0,3,0,2,1,1,2,,
28,Male,United States,CA,0,0,2,0,0,1,0,0,0,0,1,2,2,4,0,2,1,1,1,,
21,Male,United Kingdom,NA,1,0,3,1,0,0,0,0,0,1,0,0,2,2,0,0,0,1,2,,
33,Male,United States,MN,0,1,2,0,1,0,0,0,0,1,1,1,0,5,0,1,1,2,2,,
27,Male,Canada,NA,0,0,0,0,0,0,1,0,0,0,0,2,1,2,1,0,1,1,2,,
27,Male,United States,NE,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,2,2,,
28,Male,United Kingdom,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,5,0,0,0,1,2,,
37,Male,United Kingdom,NA,1,0,2,0,0,0,0,0,1,0,0,0,2,2,0,2,1,1,0,,
35,Male,United States,TX,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,,
37,Male,United States,IN,0,1,1,0,0,0,1,0,0,0,0,2,2,4,0,2,1,1,2,,
32,Male,United States,CA,0,1,0,0,0,1,0,0,0,0,1,1,1,5,0,0,0,1,1,,
36,Male,United States,IL,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,,
25,Male,United States,IL,0,1,2,0,0,1,0,0,0,0,0,1,0,3,0,1,1,1,1,,
27,Male,United States,CA,0,1,2,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,,
26,Male,United States,OK,0,0,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,2,,
36,Male,United Kingdom,NA,0,0,2,0,0,0,0,0,1,0,0,2,2,4,1,2,1,1,1,,
34,Male,United States,MN,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,1,1,,
23,Male,Ireland,NA,1,1,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,,
24,Male,United Kingdom,NA,0,0,1,0,0,0,1,0,0,0,1,1,1,5,0,1,0,1,1,,
31,Male,United Kingdom,NA,1,0,3,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,2,,
22,Male,India,NA,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,1,0,0,,
31,Male,United States,MO,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,,
28,Female,United Kingdom,NA,0,0,0,0,0,1,0,0,0,0,1,1,0,4,0,1,0,2,2,,
38,Female,South Africa,NA,1,1,3,1,0,0,0,0,0,1,1,0,2,4,1,0,1,1,1,,
28,Male,United States,MI,0,1,2,0,0,1,0,0,0,0,1,2,0,4,0,0,1,1,0,,
28,Male,Russia,NA,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,
31,Male,Italy,NA,1,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,1,,
26,Male,United States,CA,0,0,1,0,0,0,0,0,1,0,1,2,0,4,0,0,0,1,2,,
28,Male,United Kingdom,NA,0,1,2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,,
41,Male,United States,FL,0,0,3,0,1,0,0,0,0,1,1,0,1,2,0,0,1,1,1,,
21,Male,Canada,NA,0,0,2,0,1,0,0,0,0,1,1,0,2,3,0,0,1,1,1,,
30,Male,United States,MA,0,0,3,0,0,1,0,0,0,0,1,0,2,4,0,0,1,2,2,,
37,Male,United Kingdom,NA,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,,
26,Male,United Kingdom,NA,1,0,3,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,,
32,Female,United States,TX,0,1,2,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,,
28,Male,United States,PA,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,,
32,Male,United States,WA,0,0,1,1,0,0,0,0,0,1,1,0,2,2,0,0,0,1,2,,
34,Male,Australia,NA,1,0,2,1,0,0,0,0,0,1,1,1,1,3,0,2,0,0,0,,
24,Male,United States,PA,0,0,0,0,1,0,0,0,0,0,1,2,1,5,0,1,0,1,0,,
26,Male,United Kingdom,NA,1,0,2,1,0,0,0,0,0,0,1,0,2,1,0,0,1,1,1,,
36,Male,United States,OH,0,0,2,0,0,1,0,0,0,0,1,2,0,1,1,2,1,1,1,,
41,Male,United States,TX,0,0,1,0,0,0,0,1,0,1,1,2,2,1,0,1,1,1,0,,
38,Male,United Kingdom,NA,0,0,2,0,0,0,0,0,1,0,0,1,1,2,0,1,1,0,0,,
38,Male,United States,NH,0,0,2,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,2,,
25,Male,United Kingdom,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,,
37,Female,United States,NC,0,1,2,0,0,0,0,0,1,0,0,2,2,4,0,2,1,1,1,,
34,Male,United States,FL,0,1,2,1,0,0,0,0,0,0,1,0,0,3,1,0,1,1,1,,
27,Male,United States,GA,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,1,0,1,2,,
40,Male,United States,OH,0,0,2,0,0,0,0,0,1,1,1,2,2,1,1,2,1,0,0,,
21,Male,United States,KY,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,,
31,Male,United States,CA,0,1,1,0,0,0,1,0,0,1,1,2,2,5,0,1,1,1,2,,
24,Male,United States,VA,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,2,,
29,Male,Canada,NA,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,,
23,Female,United Kingdom,NA,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,,
27,Female,United States,TX,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,0,1,2,0,,
27,Male,Canada,NA,0,0,2,0,1,0,0,0,0,1,1,0,2,2,0,0,0,1,1,,
32,Male,United Kingdom,NA,1,1,2,1,0,0,0,0,0,1,1,1,1,5,1,1,1,2,1,,
30,Male,Ireland,NA,1,0,2,1,0,0,0,0,0,1,1,0,0,3,0,0,0,1,1,,
23,Female,United States,MN,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,1,2,,
38,Male,United States,PA,0,0,1,0,0,1,0,0,0,1,1,2,0,1,0,0,1,0,0,,
23,Male,United States,PA,0,1,2,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,,
27,Male,Portugal,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,
18,Male,United States,TX,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,,
35,Male,United States,NY,0,1,2,0,0,1,0,0,0,0,1,2,2,3,0,0,1,0,1,,
18,Male,United States,WA,0,0,0,0,0,1,0,0,0,0,1,1,1,5,0,1,0,1,1,,
45,Male,United States,NY,0,1,2,0,0,0,0,0,1,0,1,2,2,1,0,1,1,1,1,,
56,Male,United States,NA,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,1,2,1,,
33,Male,United States,CA,0,1,2,0,0,0,0,0,1,0,1,2,0,1,0,2,1,0,0,,
37,Male,United States,NY,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,2,0,1,2,,
26,Male,United States,MA,0,0,1,0,0,0,1,0,0,0,1,2,1,1,0,1,0,1,2,,
26,Male,Canada,NA,0,1,3,0,1,0,0,0,0,0,1,2,0,1,0,1,1,1,1,,
27,Male,United States,TN,0,0,2,0,0,0,1,0,0,0,1,2,1,1,0,2,0,1,2,,
25,Male,Canada,NA,0,0,3,0,1,0,0,0,0,1,0,1,0,3,0,1,1,0,0,,
25,Male,United States,UT,0,0,0,0,0,0,0,0,1,0,0,2,2,5,0,2,0,1,2,,
41,Male,United States,SD,0,1,1,0,0,0,1,0,0,1,1,2,2,4,0,2,1,1,2,,
29,Male,United States,CA,0,0,2,0,0,0,0,0,1,0,1,2,0,1,0,1,1,1,1,,
32,Male,United States,OR,0,0,0,0,0,0,0,1,0,0,1,2,1,4,0,2,0,1,2,,
24,Female,United States,CA,0,1,2,0,0,0,0,0,1,0,1,2,2,1,0,2,1,1,0,,
30,Male,United States,OH,1,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,1,1,,
46,Male,United States,WA,0,0,0,0,0,1,0,0,0,0,1,2,1,5,0,1,0,1,1,,
30,Male,United Kingdom,NA,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,,
33,Female,United States,WA,0,1,2,0,0,1,0,0,0,1,1,0,2,2,0,0,0,1,1,,
27,Male,United States,CA,0,0,2,0,0,0,0,0,1,0,1,1,1,5,0,1,0,0,0,,
33,Male,United Kingdom,NA,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,,
22,Male,United States,CA,0,0,2,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,,
29,Male,Belgium,NA,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,,
30,Male,United Kingdom,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,2,,
34,Male,United States,WA,0,0,2,0,0,0,1,0,0,1,1,0,0,4,0,0,1,1,1,,
34,Male,Germany,NA,1,1,1,0,0,1,0,0,0,1,1,0,0,3,0,1,1,2,2,,
21,Male,United States,IN,0,1,1,0,0,0,1,0,0,0,1,2,0,1,0,1,1,2,2,,
21,Male,United Kingdom,NA,0,0,2,0,1,0,0,0,0,0,0,1,1,5,0,0,1,1,0,,
41,Male,United States,WA,0,1,3,0,0,0,0,0,1,0,1,2,0,3,1,2,1,2,1,,
32,Female,United States,WA,0,0,2,0,0,1,0,0,0,0,1,2,2,4,0,2,1,1,2,,
45,Male,United States,MA,0,0,0,0,0,1,0,0,0,1,1,2,2,1,0,1,1,0,1,,
27,Male,United States,CA,0,0,1,0,0,0,0,0,1,0,1,2,0,1,0,2,1,1,2,,
42,Male,New Zealand,NA,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,2,,
25,Female,United States,CA,0,0,2,0,1,0,0,0,0,0,1,1,1,3,0,0,1,1,0,,
35,Male,United Kingdom,NA,0,0,2,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,2,,
32,Female,United States,AL,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,,
29,Male,Canada,NA,0,0,2,0,0,0,1,0,0,0,1,1,1,4,0,1,1,1,1,,
